graph_id,N,depth,seed,method,exp_value
N8_S3,8,2,3,tr_sampling,36.70940017700195
N8_S3,8,2,3,tr_correct_sampling,35.884
N8_S3,8,3,3,sv,35.176857473137595
N8_S3,8,3,3,tr_expectation,35.17877960205078
N8_S3,8,3,3,tr_sampling,34.313697814941406
N8_S3,8,3,3,tr_correct_sampling,35.196000000000005
N8_S3,8,4,3,sv,36.096007890245836
N8_S3,8,4,3,tr_expectation,26.187089920043945
N8_S3,8,4,3,tr_sampling,34.7870979309082
N8_S3,8,4,3,tr_correct_sampling,36.045
N8_S3,8,5,3,sv,34.617010982952344
N8_S3,8,5,3,tr_expectation,10.432340621948242
N8_S3,8,5,3,tr_sampling,35.67390060424805
N8_S3,8,5,3,tr_correct_sampling,35.528600000000004
N8_S3,8,6,3,sv,36.06449651564701
N8_S3,8,6,3,tr_expectation,3.1324620246887207
N8_S3,8,6,3,tr_sampling,35.43000030517578
N8_S3,8,6,3,tr_correct_sampling,35.8836
N8_S3,8,7,3,sv,35.965714029741626
N8_S3,8,7,3,tr_expectation,0.8246792554855347
N8_S3,8,7,3,tr_sampling,35.4901008605957
N8_S3,8,7,3,tr_correct_sampling,35.385000000000005
N8_S3,8,8,3,sv,34.83981213581021
N8_S3,8,8,3,tr_expectation,0.2518783509731293
N8_S3,8,8,3,tr_sampling,35.35350036621094
N8_S3,8,8,3,tr_correct_sampling,34.7215
N8_S3,8,9,3,sv,35.76515217746687
N8_S3,8,9,3,tr_expectation,0.07419271767139435
N8_S3,8,9,3,tr_sampling,35.106597900390625
N8_S3,8,9,3,tr_correct_sampling,35.1256
N8_S4,8,1,4,sv,31.762095495898368
N8_S4,8,1,4,tr_expectation,31.761960983276367
N8_S4,8,1,4,tr_sampling,26.072799682617188
N8_S4,8,1,4,tr_correct_sampling,31.8217
N8_S4,8,2,4,sv,34.324194774698
N8_S4,8,2,4,tr_expectation,34.324127197265625
N8_S4,8,2,4,tr_sampling,34.13560104370117
N8_S4,8,2,4,tr_correct_sampling,34.2877
N8_S4,8,3,4,sv,33.54930129236908
N8_S4,8,3,4,tr_expectation,33.5494384765625
N8_S4,8,3,4,tr_sampling,33.85429763793945
N8_S4,8,3,4,tr_correct_sampling,33.5187
N8_S4,8,4,4,sv,33.2804848706362
N8_S4,8,4,4,tr_expectation,27.772859573364258
N8_S4,8,4,4,tr_sampling,34.201499938964844
N8_S4,8,4,4,tr_correct_sampling,34.034400000000005
N8_S4,8,5,4,sv,33.58471048677986
N8_S4,8,5,4,tr_expectation,15.25252914428711
N8_S4,8,5,4,tr_sampling,34.55109786987305
N8_S4,8,5,4,tr_correct_sampling,34.124300000000005
N8_S4,8,6,4,sv,33.99035990979307
N8_S4,8,6,4,tr_expectation,5.154934406280518
N8_S4,8,6,4,tr_sampling,33.86669921875
N8_S4,8,6,4,tr_correct_sampling,33.4613
